id	has_metaphor	bertscore_f1	bertscore_precision	bertscore_recall	bleu	chrf	chrf2	comet_no_ref	comet_ref	meteor	rouge	ter
0	True	0.9828731417655945	0.9837709069252014	0.9819769859313965	89.70773746801086	94.8726101279806	93.714200767277	0.9493190050125122	0.9885454177856445	88.87803819444444	88.8888883888889	11.11111111111111
4	True	0.9817060232162476	0.9816577434539795	0.9817543029785156	53.60330312711558	81.49342999605717	79.980132836996	0.8269462585449219	0.8660950660705566	81.39255702280911	87.4999995	17.647058823529413
5	True	0.9311116933822632	0.9231710433959961	0.9391900897026062	33.06590797138797	65.86990632952934	62.55824368878604	0.8974785804748535	0.9000380635261536	59.252810665605416	54.28571378571429	50.0
6	True	0.9244275093078613	0.928982675075531	0.9199168086051941	27.826118537177575	53.371497094071195	52.407492809775135	0.9150400161743164	0.8965976238250732	63.10096153846154	59.99999950125001	38.095238095238095
7	True	0.9899429678916931	0.9901618957519531	0.9897241592407227	72.92571723872932	90.49388864889947	87.37799224425035	1.0	1.0	98.98572501878287	84.21052581717451	9.090909090909092
8	True	0.9304724335670471	0.9214067459106445	0.9397182464599609	34.03336518440548	73.90433919548414	70.01595594369972	0.9208672046661377	0.89442378282547	56.390977443609025	55.172413298454224	61.53846153846154
9	True	0.9638971090316772	0.9728145599365234	0.9551416635513306	66.30317446580982	79.13447075566845	78.1121681050912	1.0	0.9982461929321289	76.35847929936304	83.9999995032	25.0
11	True	0.9397231936454773	0.9312438368797302	0.9483585357666016	41.214299170650264	73.55031894137463	72.73924227765036	0.9391428232192993	0.9433931708335876	74.35308425106413	69.23076873372783	50.0
12	True	0.9259580373764038	0.9184286594390869	0.9336118698120117	40.8943899607061	68.23406145125807	67.57827728907641	0.9450924396514893	0.8868721127510071	70.91032608695652	74.99999950086806	28.57142857142857
13	True	0.9533807039260864	0.961026132106781	0.9458560943603516	54.20695511412779	68.35326868266294	67.69081952642654	0.8362138271331787	0.7621811032295227	69.06769341389588	69.23076873372783	33.33333333333333
14	True	0.9781312942504883	0.9813298583030701	0.9749535322189331	31.440065102016753	78.59762239755841	74.09803940759484	1.0	1.0	59.020483193277315	72.72727222727273	33.33333333333333
18	True	0.8903456926345825	0.8743369579315186	0.9069516062736511	20.448007360218387	46.22146483111208	46.61133343223118	0.9044824838638306	0.7650651931762695	54.37352245862884	55.5555550617284	77.77777777777779
21	True	0.9679436683654785	0.9707856178283691	0.9651182293891907	17.609282679116184	69.01755635917769	65.46563072633522	0.7125285267829895	0.8919334411621094	62.000000000000014	66.66666616666667	41.66666666666667
22	True	0.9576378464698792	0.9589165449142456	0.9563625454902649	64.32343886784388	76.45537096983996	77.12963296126303	0.8357069492340088	0.918696403503418	77.11996966393325	79.06976694213088	22.727272727272727
25	True	0.9601396918296814	0.9523725509643555	0.9680346846580505	41.92061018624394	77.41009651621329	74.40777133749764	1.0	1.0	75.35676992690567	74.9999995	29.411764705882355
26	True	0.959453821182251	0.953105092048645	0.9658877849578857	46.892438882117254	72.25349919524692	70.29117600166657	0.983672022819519	0.9866869449615479	70.63829787234043	68.96551674197384	35.714285714285715
27	True	0.9619777798652649	0.9636512994766235	0.9603101015090942	36.27848276110141	71.7216506811382	68.35845648216495	0.9612935781478882	0.9859156608581543	79.82731554160127	69.56521689130435	30.76923076923077
29	True	0.9788556098937988	0.9842628836631775	0.9735074043273926	80.96427216101601	87.00476767955924	87.62398760528656	0.9865916967391968	0.9923123121261597	92.78581994928149	91.66666616666667	7.142857142857142
32	True	0.9517151117324829	0.9548072814941406	0.9486429691314697	43.4449563860881	70.92703566447469	68.03928350173584	0.9103186130523682	0.9585819244384766	62.331250000000004	65.38461488535503	38.46153846153847
33	True	0.9545859098434448	0.9584978818893433	0.9507057070732117	66.43332366438388	71.58307207722768	73.15847287548445	0.9186724424362183	0.954346776008606	83.02824267782427	78.04877998810234	25.0
34	True	0.9658275842666626	0.9622994661331177	0.9693816900253296	60.90411142532264	82.47087533224773	79.3582113391128	0.8558623790740967	0.9113094806671143	72.39351557533375	76.36363586380168	30.0
35	True	0.9540925025939941	0.9368892312049866	0.9719393253326416	49.27328690508444	76.51572078669734	74.69423099888121	0.8211971521377563	0.9121788740158081	83.11480455524777	74.99999950347224	40.909090909090914
36	True	0.9692971706390381	0.9766635298728943	0.9620410203933716	47.63182116578116	72.32695331845987	70.51371058574922	0.9758316278457642	0.9894156455993652	59.308568923953544	63.157894242382284	40.909090909090914
37	True	0.9750947952270508	0.9764184951782227	0.9737746715545654	71.72835948406504	83.79115068839275	82.53197607885032	0.987182080745697	0.9905818700790405	80.35048471290084	82.75862019024972	20.0
38	True	0.9502328634262085	0.9534657001495361	0.9470219016075134	30.213753973567677	72.27298691181583	67.12319066037101	0.8140159845352173	0.9207876324653625	50.11235955056179	47.05882303114187	55.55555555555556
40	True	0.9135376811027527	0.9234685897827148	0.9038181304931641	26.886570913389843	54.89068512544449	53.123848109074736	0.9411642551422119	0.9460280537605286	48.102050302122606	49.99999950295859	52.94117647058824
41	True	0.977707028388977	0.9741789698600769	0.9812607765197754	55.83948264724179	83.51579591890544	82.05381240151885	0.8440964818000793	0.9473575353622437	77.89062500000001	77.77777727777779	40.0
43	True	0.9504871368408203	0.9519748091697693	0.949004054069519	15.507680807656335	69.5814972006669	63.335078203485374	0.9911999702453613	1.0	41.24273255813954	58.33333283680556	46.15384615384615
44	True	0.917003333568573	0.9192824363708496	0.9147354960441589	45.71536110424208	61.69897946046372	62.035760449135005	1.0	0.99889075756073	69.56609865211159	71.42857092970523	29.166666666666668
47	True	0.9675275087356567	0.9751668572425842	0.9600069522857666	68.868604992493	85.61798830865315	82.8230955984532	0.9896119236946106	0.9909557104110718	74.29640384185838	78.57142807397959	26.666666666666668
49	True	0.9693272709846497	0.9680501222610474	0.9706077575683594	66.06328636027612	81.89338729868332	81.91521128520642	1.0	1.0	86.4795918367347	87.4999995	12.5
50	True	0.9652371406555176	0.9594525098800659	0.9710920453071594	32.59889346257789	67.23130514529167	66.53476845198847	0.887017011642456	0.8940615653991699	79.08163265306123	70.27026977355736	41.17647058823529
51	True	0.9246023297309875	0.90627121925354	0.9436903595924377	35.870004213152995	54.171358333303154	56.055252517114475	0.9928463697433472	0.9896175265312195	70.66666666666667	62.06896503210465	66.66666666666666
52	True	0.9999920725822449	0.9999920725822449	0.9999920725822449	100.00000000000004	100.0	100.0	0.8785703182220459	0.9516878724098206	99.93141289437585	99.9999995	0.0
53	True	0.936793863773346	0.9341416358947754	0.9394611120223999	39.080227521872686	58.192349178077244	56.87963358896817	0.878362774848938	0.9095950722694397	54.502762430939235	48.484847985307624	55.55555555555556
54	True	0.8951175808906555	0.9036033153533936	0.8867897987365723	14.530178168217569	39.18685225413143	40.79843543284362	0.9257074594497681	0.8980583548545837	47.1371644295302	55.17241329369797	46.666666666666664
55	True	0.913526177406311	0.9043287038803101	0.9229125380516052	28.479942163807365	61.65177350935209	57.963715130049124	0.9513261914253235	0.9637212753295898	59.82653709926438	51.4285709289796	66.66666666666666
57	True	0.9656397104263306	0.9671546220779419	0.9641293883323669	68.64503679963468	85.81392402059853	83.87365316377057	0.867938220500946	0.9185299873352051	77.02942016566698	73.97260223981985	30.76923076923077
58	True	0.9415861368179321	0.9390045404434204	0.9441820383071899	44.01693091736931	63.005620394680705	61.26643486060086	0.7021459341049194	0.8420287370681763	54.80852402296139	66.66666616941016	50.0
59	True	0.9791863560676575	0.9839056730270386	0.9745121598243713	61.47881529512643	81.34353297613508	79.52982248657162	0.9185543060302734	0.9718960523605347	86.50887573964498	78.57142807142857	20.0
60	True	0.9999747276306152	0.9999747276306152	0.9999747276306152	100.00000000000004	100.0	100.0	1.0	1.0	99.90234375	99.9999995	0.0
63	True	0.9431152939796448	0.9431624412536621	0.9430680871009827	39.615805576005414	65.90195311784952	64.28739119905926	1.0	0.9888784885406494	63.945185917504254	69.38775460391503	44.0
64	True	0.933288037776947	0.9271830916404724	0.9394738674163818	23.397625978961173	56.15609249218111	54.01793756670595	0.8505337238311768	0.6377886533737183	66.19183285849952	61.53846103846155	38.46153846153847
65	True	0.9226694107055664	0.9183752536773682	0.9270039796829224	39.56716729452431	58.64710044890368	57.47593690731536	0.8514752388000488	0.8927202224731445	64.90131578947368	55.172413298454224	53.333333333333336
66	True	0.9583504796028137	0.9571732878684998	0.9595305323600769	52.68093182266184	79.52009429750174	77.21310625682479	0.9256680607795715	0.9384539127349854	74.53458749755048	74.57627068658432	31.428571428571427
67	True	0.9342238903045654	0.929512619972229	0.938983142375946	14.865996369027272	61.49032393328907	56.95477674762959	0.8935559988021851	0.8898506760597229	42.24058769513315	49.99999950347222	58.333333333333336
68	True	0.9724122881889343	0.9724122881889343	0.9724122881889343	66.87403049764218	89.04197575786479	86.16060510526522	1.0	1.0	79.37500000000001	79.99999950000002	20.0
70	True	0.9815545678138733	0.9815934896469116	0.981515645980835	87.0239763769791	88.80714553106563	89.42506310441128	0.9823316335678101	0.9986356496810913	93.89682464604421	92.59259209259261	6.0606060606060606
