id	has_metaphor	bertscore_f1	bertscore_precision	bertscore_recall	bleu	chrf	chrf2	comet_no_ref	comet_ref	meteor	rouge	ter
5042	False	0.9705149531364441	0.9851822257041931	0.9562779664993286	53.849523560640826	73.5749794203309	74.31942220650048	1.0	1.0	78.61781076066792	87.4999995078125	22.22222222222222
5045	False	0.956355631351471	0.9708063006401062	0.9423288106918335	42.7287006396234	61.05195484358521	62.0511458513477	0.9823999404907227	1.0	63.888888888888886	74.9999995	25.0
5047	False	0.7866202592849731	0.7596975564956665	0.815521240234375	22.089591134157878	24.995999934924924	31.212212625175916	0.8519574999809265	0.841950535774231	44.642857142857146	39.99999952000001	100.0
5050	False	0.9805753231048584	0.9698005318641663	0.991592288017273	69.89307622784945	94.09355465900467	92.96180625533046	1.0	1.0	85.24141363862616	88.88888839506174	37.5
5061	False	0.9670773148536682	0.9907988905906677	0.9444650411605835	35.186297399811885	56.4491156071668	59.376031182053744	0.9823999404907227	1.0	65.52706552706553	85.7142852244898	25.0
5067	False	0.9745613932609558	0.9806948304176331	0.9685043096542358	92.00444146293236	96.86540766228948	96.02567180006787	0.9911999702453613	0.956000030040741	91.69724770642202	95.23809473922903	9.090909090909092
5068	False	0.9998842477798462	0.9998842477798462	0.9998842477798462	100.00000000000004	100.0	100.0	0.9150745272636414	0.988288402557373	99.21875	99.9999995	0.0
5077	False	0.9079751968383789	0.9030271768569946	0.9129776954650879	17.965205598154213	55.125833209300254	50.10062004822476	1.0	0.9912000298500061	37.50000000000001	39.99999950000001	60.0
5078	False	0.9329845905303955	0.9242932796478271	0.9418410658836365	32.46679154750989	66.09521505248878	63.907597111413814	0.8260180950164795	0.8994618058204651	62.5	66.66666616666667	33.33333333333333
5086	False	0.9999862313270569	0.9999862313270569	0.9999862313270569	100.00000000000004	100.0	100.0	0.951744556427002	0.995283842086792	99.93141289437585	99.9999995	0.0
5090	False	1.0000019073486328	1.0000019073486328	1.0000019073486328	100.00000000000004	100.0	100.0	1.0	1.0	99.21875	99.9999995	0.0
5098	False	0.9359545707702637	0.9303023815155029	0.9416759014129639	13.545994273378144	45.09449663363739	41.30553249228327	0.778462290763855	0.8024451732635498	52.60869565217392	29.99999950500001	88.88888888888889
5100	False	0.9882563352584839	0.9795430898666382	0.9971259832382202	77.4403141014203	94.76440203334693	94.13521060707983	0.8067820072174072	0.89609295129776	86.6013071895425	94.73684160664821	30.0
5109	False	0.91441410779953	0.913321852684021	0.9155089855194092	26.269098944241588	52.00267332773285	50.31656522591016	0.7620887756347656	0.83448326587677	37.50000000000001	39.99999950000001	60.0
5111	False	0.8673059940338135	0.8929298520088196	0.8431118130683899	2.7757915716335906	16.578144172521867	13.741989372370094	0.8812299966812134	0.9467973709106445	0.0	16.666666291666676	100.0
5120	False	0.9297003149986267	0.9191117286682129	0.9405356645584106	72.59795291154772	84.74469559855707	84.65991651419863	0.9302880764007568	0.979517936706543	84.3114241001565	79.99999950222222	28.57142857142857
5137	False	0.9096296429634094	0.9147701263427734	0.9045465588569641	7.267884212102741	39.879015427338786	34.60232646609163	0.9595004916191101	0.9671859741210938	14.285714285714285	14.285713785714302	85.71428571428571
5156	False	0.9410213232040405	0.9510829448699951	0.9311703443527222	43.44371253135792	59.952418977572265	59.59198469600211	0.8948172926902771	0.9802829027175903	66.16729088639201	70.58823479584775	33.33333333333333
5160	False	0.9284611344337463	0.9300694465637207	0.9268582463264465	23.643540225079395	58.29465689972936	54.34599267479702	0.9745268821716309	0.9807126522064209	46.875	49.99999950000001	50.0
5174	False	0.9625663161277771	0.9705446362495422	0.9547182321548462	54.017258985951415	76.66385470644337	75.00520097135299	0.9911999702453613	0.9523594379425049	72.2862382781411	73.33333283333333	29.411764705882355
5176	False	0.9170786142349243	0.8990283608436584	0.9358686208724976	28.926256292692813	44.59540174492369	47.75012565539078	0.9957658052444458	0.9960877895355225	48.512625389138705	66.66666616780046	41.66666666666667
5184	False	0.9613194465637207	0.968451738357544	0.9542914032936096	84.08964152537145	82.04364028326533	83.24329459506679	0.9911999702453613	0.9912000298500061	85.51587301587303	85.71428521428571	14.285714285714285
5187	False	0.9058179259300232	0.9179811477661133	0.8939727544784546	61.47881529512643	49.2919819862917	54.394982387682624	0.9832731485366821	0.981185793876648	66.14583333333333	66.66666616666667	33.33333333333333
5189	False	1.0000200271606445	1.0000200271606445	1.0000200271606445	100.00000000000004	100.0	100.0	0.8874338269233704	0.9260903596878052	99.6	99.9999995	0.0
5209	False	0.9506685733795166	0.9452425241470337	0.9561573266983032	35.091197742655815	56.03680938072968	56.778679699482446	0.9664513468742371	0.9366046190261841	50.237341772151886	66.6666661688889	50.0
5213	False	0.9499865770339966	0.9614959955215454	0.9387494325637817	20.130954856436926	57.775445621925584	54.21551025906671	0.9526604413986206	0.8762112259864807	50.68181818181817	49.99999950781251	44.44444444444444
5222	False	0.9589462876319885	0.9642098546028137	0.9537398815155029	33.87450351171809	68.03418081204232	65.74503296419219	0.9436652660369873	0.8700629472732544	64.2846538328302	71.42857093112245	35.294117647058826
5228	False	1.0000122785568237	1.0000122785568237	1.0000122785568237	100.00000000000004	100.0	100.0	0.9823999404907227	1.0	99.96243425995492	99.9999995	0.0
5234	False	0.9942926168441772	0.9910228848457336	0.9975839853286743	86.5603055254171	96.47506628160107	96.45534616546834	0.9092819094657898	0.9841270446777344	94.21702404158545	96.96969647015611	5.263157894736842
5235	False	0.9680518507957458	0.9750133752822876	0.9611890912055969	32.649710286280516	75.7476166139113	71.87096210634277	0.9494974613189697	0.9689143300056458	79.37500000000001	69.9999995	20.0
5246	False	0.9856348633766174	0.9856348633766174	0.9856348633766174	42.7287006396234	76.09787695725736	73.32632895301944	1.0	1.0	63.888888888888886	74.9999995	25.0
5249	False	0.9173461198806763	0.8960487842559814	0.9396804571151733	23.356898886410004	70.22250183013068	68.66724904792461	1.0	1.0	60.48387096774195	71.42857093877552	66.66666666666666
5253	False	0.899825394153595	0.8986973762512207	0.9009563326835632	14.37791910008819	46.76236369487559	45.63421381517491	0.9719657897949219	0.9861198663711548	39.82142857142856	41.66666617013889	81.81818181818183
5254	False	0.9955604672431946	0.9955604076385498	0.9955604672431946	61.79654585112238	83.0750120006945	83.55625900052088	1.0	1.0	96.8	88.8888883888889	10.0
